"fti.x"	"fti.y"	"bti.rib"	"bti.x"	"bti.y"	"fti.rib"
"1"	0.527904	0.65	1	0.457686	0.65	1
"2"	0.531288	0.65	1	0.457686	0.65	1
"3"	0.52875	0.65	1	0.457686	0.65	1
"4"	0.5076	0.65	1	0.412002	0.65	0
"5"	0.5076	0.65	1	0.412002	0.65	0
"6"	0.5076	0.65	1	0.412002	0.65	0
"7"	0.2961	0.75	1	0.36801	0.65	0
"8"	0.31725	0.75	1	0.36801	0.65	1
"9"	0.31725	0.75	0	0.2961	0.65	0
"10"	0.31725	0.75	0	0.2961	0.65	0
"11"	0.31725	0.75	0	0.2961	0.65	0
"12"	0.31725	0.75	0	0.339246	0.647	0
"13"	0.339246	0.75	0	0.3384	0.647	1
"14"	0.3384	0.75	0	0.3384	0.647	1
"15"	0.337554	0.75	1	0.35532	0.647	1
"16"	0.466146	0.7	1	0.35532	0.647	1
"17"	0.466146	0.7	1	0.35532	0.647	1
"18"	0.466992	0.7	1	0.399312	0.75	1
"19"	0.423	0.7	1	0.399312	0.75	1
"20"	0.423	0.7	1	0.399312	0.75	1
"21"	0.423	0.7	1	0.2961	0.75	1
"22"	0.3807	0.7	1	0.2961	0.75	0
"23"	0.3807	0.7	1	0.2961	0.75	0
"24"	0.3807	0.7	1	0.2961	0.69	0
"25"	0.401004	0.7	1	0.2961	0.69	0
"26"	0.40185	0.7	1	0.2961	0.69	0
"27"	0.401004	0.7	0	0.356166	0.598	0
"28"	0.549054	0.6	0	0.357858	0.598	0
"29"	0.5499	0.6	0	0.357858	0.598	0
"30"	0.5499	0.6	0	0.39762	0.598	0
"31"	0.6345	0.6	0	0.39762	0.598	1
"32"	0.6345	0.6	0	0.39762	0.598	1
"33"	0.6345	0.6	1	0.43992	0.598	1
"34"	0.61335	0.6	1	0.43992	0.598	1
"35"	0.61335	0.6	1	0.43992	0.598	1
"36"	0.61335	0.6	0	0.41877	0.598	1
"37"	0.5922	0.6	0	0.41877	0.598	1
"38"	0.591354	0.6	0	0.41877	0.598	0
"39"	0.591354	0.6	0	0.43992	0.551	0
"40"	0.591354	0.6	0	0.43992	0.551	0
"41"	0.591354	0.6	0	0.43992	0.551	0
"42"	0.49491	0.55	1	0.49491	0.55	0
"43"	0.49491	0.55	1	0.49491	0.55	0
"44"	0.49491	0.55	1	0.49491	0.55	0
"45"	0.5499	0.55	0	0.49068	0.499	0
"46"	0.593046	0.55	0	0.49068	0.499	0
"47"	0.6345	0.55	0	0.49068	0.499	0
